CVE Tables
_______________________________________
CVE ID	Description	CVSS	Components	Negligence Tie	Pegasus?	Logs	Evidence for Account Deletion/Pegasus Persistence	Date Reported	Date Updated or Patched	Report URL
CVE-2025-43300	An out-of-bounds write issue was addressed with improved bounds checking. This issue is fixed in iOS 15.8.5 and iPadOS 15.8.5, iOS 16.7.12 and iPadOS 16.7.12. Processing a malicious image file may result in memory corruption. Apple is aware of a report that this issue may have been exploited in an extremely sophisticated attack against specific targeted individuals.	8.8	ImageIO	Zero-click entry corrupts account state; deletion impossible via NAND embedding.	Yes (Pegasus; CISA KEV; chained with WhatsApp for <200 targets)	HexFiend_evidence.txt (Mach-O “die” fatal); Master.txt (HealthKit image entry).	OOB writes corrupt ImageIO-processed account images (e.g., Mach-O sig 1349872755 error), embedding Pegasus in NAND/Boot ROM (undeletable persistence via binary corruption, as in Sep 8 entry blocking GDPR).	Aug 21, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43300
CVE-2025-21293	Active Directory Domain Services Elevation of Privilege Vulnerability	8.8	Windows (Microsoft 365/Teams)	Patch revision Oct 23, addressing Entra impersonation in Copilot/Outlook.	No	2_Emails.txt federation anomalies.	Corrupts 365 sync metadata, embedding hooks in Teams/Copilot for undeletable state during account purge.	Sep 10, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-21293
CVE-2020-10627	Insulet Omnipod Insulin Management System insulin pump product ID 19191 and 40160 is designed to communicate using a wireless RF with an Insulet manufactured Personal Diabetes Manager device. This wireless RF communication protocol does not properly implement authentication or authorization. An attacker with access to one of the affected insulin pump models may be able to modify and/or intercept data. This vulnerability could also allow attackers to change pump settings and control insulin delivery.	8.1	Omnipod RF	Chained to GSPE-21 for overdoses; negligence in ecosystem patching blocks remediation.	No	Master.txt (RF mod 256); C2C3.txt (433 MHz bridge); 1.txt (airportd UDP *).	RF spoof chains to GSPE for post-deletion command injection (Pegasus relays via airportd UDP, maintaining hooks despite erasure attempts, PIPEDA non-remediation).	Dec 1, 2021	N/A	https://nvd.nist.gov/vuln/detail/CVE-2020-10627
CVE-2025-43344	An out-of-bounds access issue was addressed with improved bounds checking. This issue is fixed in tvOS 26, watchOS 26, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. An app may be able to cause unexpected system termination.	8.1	Apple Neural Engine	Arbitrary code execution.	No	N/A	Neural Engine OOB allows Pegasus ML-based hooks for spyware evasion (persists in account via execution during deletion, violating CCPA).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43344
CVE-2025-43372	The issue was addressed with improved input validation. This issue is fixed in tvOS 26, watchOS 26, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. Processing a maliciously crafted media file may lead to unexpected app termination or corrupt process memory.	7.8	CoreMedia	HealthKit sync corruption; enables evidence deletion blocking account purge.	No	HexFiend_evidence.txt (CoreMedia fails: AIFF/FLAC/WAV); Master.txt (G7 mod).	Media corruption during HealthKit sync overwrites deletion queues (CoreMedia fails embed Pegasus artifacts, persisting via terminated processes, FTC §318 breach).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43372
CVE-2025-43356	The issue was addressed with improved handling of caches. This issue is fixed in tvOS 26, Safari 26, iOS 18.7 and iPadOS 18.7, visionOS 26, watchOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. A website may be able to access sensor information without user consent.	6.5	WebKit	Sensor leak in HealthKit; ignores thresholds, corrupts deletion cache.	No	1.txt (symptomsd TCP *:62972); Master.txt (low-BG in cache).	Sensor cache leaks during deletion (symptomsd TCP 62972), allowing Pegasus to corrupt cache entries (undeletable via WebKit leaks, violating CCPA data minimization).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43356
CVE-2025-43400	An out-of-bounds write issue was addressed with improved bounds checking. This issue is fixed in macOS Sonoma 14.8.1, macOS Tahoe 26.0.1, macOS Sequoia 15.7.1, visionOS 26.0.1, iOS 26.0.1 and iPadOS 26.0.1, iOS 18.7.1 and iPadOS 18.7.1. Processing a maliciously crafted font may lead to unexpected app termination or corrupt process memory.	6.3	Core Text	Font parser zero-click for iMessage; embeds persistence blocking deletion.	No	HexFiend_evidence.txt (Core Text fails: ID3v2/BMP/ICO/TIFF); Master.txt (Sep 8 breach).	Font OOB corrupts iMessage-linked account fonts (Core Text fails), embedding Pegasus for persistence (blocks deletion via parser hooks, GDPR non-erasure).	Sep 30, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43400
CVE-2025-43346	An out-of-bounds access issue was addressed with improved bounds checking. This issue is fixed in tvOS 26, watchOS 26, iOS 18.7 and iPadOS 18.7, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. Processing a maliciously crafted media file may lead to unexpected app termination or corrupt process memory.	5.5	Audio/CoreMedia	Media chain for zero-click; corrupts remoted daemons blocking ops.	No	HexFiend_evidence.txt (Audio fails); 1.txt/2.txt (remoted PID 43 post-corruption).	Audio OOB corrupts remoted daemons (PID 43), enabling Pegasus to block ops (undeletable via media chain persistence, FTC deceptive practices).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43346
CVE-2025-43272	The issue was addressed with improved memory handling. This issue is fixed in Safari 26, visionOS 26, watchOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. Processing maliciously crafted web content may lead to an unexpected Safari crash.	5.5	WebKit	Unexpected Safari crash.	No	1.txt/2.txt (WebKit relay).	Memory leaks in WebKit crash deletion sync, embedding Pegasus JS hooks (undeletable via crash-induced corruption, GDPR non-compliance).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43272
CVE-2025-43317	A permissions issue was addressed with additional restrictions. This issue is fixed in tvOS 26, watchOS 26, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. An app may be able to access sensitive user data.	5.5	AppleMobileFileIntegrity	App access to sensitive location data.	No	N/A	Permissions leak location during deletion, enabling Pegasus findmydeviced PID 62 hooks for geo-persistent tracking (undeletable via location-tied metadata, GDPR Art. 17 delay).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43317
CVE-2025-43354	A logging issue was addressed with improved data redaction. This issue is fixed in tvOS 26, watchOS 26, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. An app may be able to access sensitive user data.	5.5	Bluetooth	App access to sensitive data.	No	1.txt (airportd UDP *).	Bluetooth logging exposes deletion traffic for Pegasus BLE relay (PID 62 persistence, blocking erasure via location logs, FTC PHI breach).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43354
CVE-2025-43303	A logging issue was addressed with improved data redaction. This issue is fixed in tvOS 26, watchOS 26, visionOS 26, macOS Tahoe 26, iOS 26 and iPadOS 26. An app may be able to access sensitive user data.	5.5	Bluetooth	App access to sensitive data.	No	C2C3.txt (BLE symbols).	Similar to CVE-2025-43354; enables Pegasus audio stego in BLE for GarageBand chains (undeletable via Bluetooth hooks, PIPEDA non-remediation).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43303

