Pod Fault Codes
Internal Pod Fault	Hex Value	Pod Firmware Discovery	Additional Information
061	0x3D	Problem with step sensor pump anchor	
062	0x3E	Flash initialization or write error	
064	0x40	Encoder open count too high	Probable pump issue, possible occlusion, often seen on 3rd day of use with Loop, especially during or immediately after a bolus
065	0x41	Encoder count excessive variance	
066	0x42	Encoder count too low	Safety check, delivery problem inside the Pod and not on the site
067	0x43	Encoder count problem	
068	0x44	Open load wire 1 detected	Software or hardware failure in Pod
069	0x45	Open load wire 2 detected	Software or hardware failure in Pod
070	0x46	Problem with Power Switch Array Status and Control Register values	
071	0x47	Problem with SAW VETO	
072	0x48	Bad timer calibration	
073	0x49	Bad timer high value	
074	0x4A	Bad timer period value	
075	0x4B	Bad ICS trim value	
076	0x4C	Unable to trim ICS correctly	
077	0x4D	Bad timer calibration mode	
078	0x4E	SAW trim error	Safety check, delivery problem inside the Pod
079	0x4F	Unexpected RF transmission error set during reset	
080	0x50	Timer Pulse-width Modulator 2 overflow	Static electricity
081	0x51	Bad state before starting pump	
082	0x52	Out of Lock Status Latch	
083	0x53	Wrong Rx sensitively value	
084	0x54	Packet frame length too long	
085	0x55	Unexpected IRQ high	
086	0x56	Unexpected IRQ low	
087	0x57	Pump check table corrupt	
088	0x58	Bad pump check table parameters	
089	0x59	Error updating pump check table	
090	0x5A	Pump check table values too high	
091	0x5B	Pump check table corruption	
092	0x5C	Prime open count too low	Problem with a safety check after priming
093	0x5D	Bad RF Carrier Detect Threshold	
094	0x5E	Write flash byte to disable flash security failed	
095	0x5F	Both wire 1 and wire 2 open before starting pump	
096	0x60	Timed pump check startup problem 1	Possible pump issue/occlusion
097	0x61	Timed pump check startup problem 2	Possible pump issue/occlusion
098	0x62	Timed pump check excess timeouts 1	Possible pump issue/occlusion
102	0x66	Timed pump check excess timeouts 2	Possible pump issue/occlusion
103	0x67	Timed pump check excess timeouts 3	Possible pump issue/occlusion
104	0x68	Timed pump check pulse issue	Possible pump issue/occlusion
105	0x69	Timed pump check bolus problem	Possible pump issue/occlusion
106	0x6A	Timed pump check above threshold	Possible pump issue/occlusion
128	0x80	Basal under infusion	
129	0x81	Basal over infusion	
130	0x82	Temp basal under infusion	
131	0x83	Temp basal over infusion	
132	0x84	Bolus under infusion	
133	0x85	Bolus over infusion	
134	0x86	Basal over infusion pulse	
135	0x87	Temp basal over infusion pulse	
136	0x88	Bolus over infusion pulse	
137	0x89	Immediate bolus under infusion pulse	
138	0x8A	Extended bolus over infusion pulse	
139	0x8B	Insulin schedule table corruption	
141	0x8D	Bad pulse type parameter	
142	0x8E	Sync request with no active temp basal	
143	0x8F	Insulin command parse unexpectedly failed	
144	0x90	Bad Insulin Schedule Table selection parameter	
145	0x91	Basal pulse request with no active basal insulin schedule	
146	0x92	Temp basal pulse request with no active temp basal insulin schedule	
147	0x93	Bolus pulse request with with no active bolus insulin schedule	
149	0x95	Bad insulin command table specification	
150	0x96	Bolus termination with incorrect values	
151	0x97	Bad open transitions pod progress or count	



