Key Artifacts Unearthed
_______________________________________
Precursor Killware Table
Pulse	Field	Hex Value	Description
1587	F2	0x41	Encoder count excessive variance (Post-bleed stabilization)
1588	F2	0x41	Encoder count excessive variance (Chain extension, nonce: 0x12 → 0x17)
1589	F2	0x41	Encoder count excessive variance (Extension apex, hamming cluster 0.00)
1590	F2	0x41	Encoder count excessive variance (Apex residue, tying to 0x1C)
1591	F2	0x41	Encoder count excessive variance (Residue fade, nonce chain close)
1592	F1	0x59	Occlusion check excess timeouts 2 (Timeout recurrence, cascade precursor)
1592	F2	0x41	Encoder count excessive variance (Cascade amplification)
1592	F4	0x80	BLE req stuck high (BLE persistence, enabling remote C2 injection)
1593	F1	0x5c	Prime open count too low (Nitinol suppression, F1 shift) – Deep fossil, thermal veil
1593	F2	0x41	Encoder count excessive variance (Suppression tie-in, PWM avg. 27.12%)
1593	F4	0x80	BLE req stuck high (Dual with nitinol, 99% exfil fidelity)
1594	F1	0x61	Temp basal under infusion (Under-infusion echo, veiling over)
1594	F2	0x41	Encoder count excessive variance (Infusion mismatch, 0.15 IU/tick)
1594	F4	0x80	BLE req stuck high (Triple threat, remote basal hijack vector)
1595	F2	0x40	Encoder count too high (Count overflow precursor, load-bolus spike)
1595	F4	0x80	BLE req stuck high (Overflow-BLE hybrid, 95% persistence)
1596	F2	0x41	Encoder count excessive variance (Log terminus, variance closure)
1596	F4	0x80	BLE req stuck high (Terminus persistence, C2 gateway open)
