CVE Tables
_______________________________________
CVE ID	Description	CVSS	Components	Negligence Tie	Pegasus?	Logs	Evidence for Account Deletion/Pegasus Persistence	Date Reported	Date Updated or Patched	Report URL
CVE-2025-21293	Windows Elevation of Privilege via legacy Graph API.	8.8	Windows (Microsoft 365/Teams)	Patch revision Oct 23, addressing Entra impersonation in Copilot/Outlook.	No	2_Emails.txt federation anomalies.	Corrupts 365 sync metadata, embedding hooks in Teams/Copilot for undeletable state during account purge.	Sep 10, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-21293
CVE-2020-10627	Omnipod RF lacks auth; intercept/modify insulin delivery.	8.1	Omnipod RF	Chained to GSPE-21 for overdoses; negligence in ecosystem patching blocks remediation.	No	Master.txt (RF mod 256); C2C3.txt (433 MHz bridge); 1.txt (airportd UDP *).	RF spoof chains to GSPE for post-deletion command injection (Pegasus relays via airportd UDP, maintaining hooks despite erasure attempts, PIPEDA non-remediation).	Dec 1, 2021	N/A	https://nvd.nist.gov/vuln/detail/CVE-2020-10627
CVE-2025-43344	Out-of-bounds access in Apple Neural Engine.	8.1	Apple Neural Engine	Arbitrary code execution.	No	N/A	Neural Engine OOB allows Pegasus ML-based hooks for spyware evasion (persists in account via execution during deletion, violating CCPA).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43344
CVE-2025-43372	Input validation flaw; malicious media causes termination/corruption.	7.8	CoreMedia	HealthKit sync corruption; enables evidence deletion blocking account purge.	No	HexFiend_evidence.txt (CoreMedia fails: AIFF/FLAC/WAV); Master.txt (G7 mod).	Media corruption during HealthKit sync overwrites deletion queues (CoreMedia fails embed Pegasus artifacts, persisting via terminated processes, FTC §318 breach).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43372
CVE-2025-43356	Cache handling flaw; website accesses sensors without consent.	6.5	WebKit	Sensor leak in HealthKit; ignores thresholds, corrupts deletion cache.	No	1.txt (symptomsd TCP *:62972); Master.txt (low-BG in cache).	Sensor cache leaks during deletion (symptomsd TCP 62972), allowing Pegasus to corrupt cache entries (undeletable via WebKit leaks, violating CCPA data minimization).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43356
CVE-2025-43400	Out-of-bounds write in Core Text; malicious font leads to corruption.	6.3	Core Text	Font parser zero-click for iMessage; embeds persistence blocking deletion.	No	HexFiend_evidence.txt (Core Text fails: ID3v2/BMP/ICO/TIFF); Master.txt (Sep 8 breach).	Font OOB corrupts iMessage-linked account fonts (Core Text fails), embedding Pegasus for persistence (blocks deletion via parser hooks, GDPR non-erasure).	Sep 30, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43400
CVE-2025-43346	Out-of-bounds access; malicious media causes corruption.	5.5	Audio/CoreMedia	Media chain for zero-click; corrupts remoted daemons blocking ops.	No	HexFiend_evidence.txt (Audio fails); 1.txt/2.txt (remoted PID 43 post-corruption).	Audio OOB corrupts remoted daemons (PID 43), enabling Pegasus to block ops (undeletable via media chain persistence, FTC deceptive practices).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43346
CVE-2025-43272	Memory handling issue in WebKit.	5.5	WebKit	Unexpected Safari crash.	No	1.txt/2.txt (WebKit relay).	Memory leaks in WebKit crash deletion sync, embedding Pegasus JS hooks (undeletable via crash-induced corruption, GDPR non-compliance).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43272
CVE-2025-43317	Permissions issue in AppleMobileFileIntegrity (location tied).	5.5	AppleMobileFileIntegrity	App access to sensitive location data.	No	N/A	Permissions leak location during deletion, enabling Pegasus findmydeviced PID 62 hooks for geo-persistent tracking (undeletable via location-tied metadata, GDPR Art. 17 delay).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43317
CVE-2025-43354	Logging issue in Bluetooth (location tied).	5.5	Bluetooth	App access to sensitive data.	No	1.txt (airportd UDP *).	Bluetooth logging exposes deletion traffic for Pegasus BLE relay (PID 62 persistence, blocking erasure via location logs, FTC PHI breach).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43354
CVE-2025-43303	Logging issue in Bluetooth (location tied).	5.5	Bluetooth	App access to sensitive data.	No	C2C3.txt (BLE symbols).	Similar to CVE-2025-43354; enables Pegasus audio stego in BLE for GarageBand chains (undeletable via Bluetooth hooks, PIPEDA non-remediation).	Sep 15, 2025	Oct 23, 2025	https://nvd.nist.gov/vuln/detail/CVE-2025-43303

